"studyID","speciesID","observedSex","captureYear","minimumAge","n"
"MTV-1","LOPCRI","F",1988,,1
"MTV-1","LOPCRI","F",1989,,2
"MTV-1","LOPCRI","F",1990,1,1
"MTV-1","LOPCRI","F",1991,1,1
"MTV-1","LOPCRI","F",1995,1,1
"MTV-1","LOPCRI","F",1997,1,1
"MTV-1","LOPCRI","F",1998,1,1
"MTV-1","LOPCRI","F",2000,1,1
"MTV-1","LOPCRI","F",2003,1,1
"MTV-1","LOPCRI","F",2008,1,1
"MTV-1","LOPCRI","M",1987,1,2
"MTV-1","LOPCRI","M",1987,,2
"MTV-1","LOPCRI","M",1988,1,1
"MTV-1","LOPCRI","M",1988,,1
"MTV-1","LOPCRI","M",1989,1,1
"MTV-1","LOPCRI","M",1989,,2
"MTV-1","LOPCRI","M",1990,1,1
"MTV-1","LOPCRI","M",1991,1,1
"MTV-1","LOPCRI","M",1998,1,1
"MTV-1","LOPCRI","M",2000,1,1
"MTV-1","LOPCRI","M",2003,1,2
"MTV-1","LOPCRI","M",2008,1,1
"MTV-1","LOPCRI",,1979,,6
"MTV-1","LOPCRI",,1982,,6
"MTV-1","LOPCRI",,1983,,10
"MTV-1","LOPCRI",,1984,,2
"MTV-1","LOPCRI",,1985,,25
"MTV-1","LOPCRI",,1986,,28
"MTV-1","LOPCRI",,1987,,22
"MTV-1","LOPCRI",,1988,,12
"MTV-1","LOPCRI",,1989,,16
"MTV-1","LOPCRI",,1990,,6
"MTV-1","LOPCRI",,1991,,5
"MTV-1","LOPCRI",,1993,0,4
"MTV-1","LOPCRI",,1994,,6
"MTV-1","LOPCRI",,1995,0,6
"MTV-1","LOPCRI",,1995,,6
"MTV-1","LOPCRI",,1997,0,3
"MTV-1","LOPCRI",,1997,,2
"MTV-1","LOPCRI",,1998,0,5
"MTV-1","LOPCRI",,1999,0,6
"MTV-1","LOPCRI",,2000,0,10
"MTV-1","LOPCRI",,2003,0,11
"MTV-1","PARMAJ","F",1979,1,1
"MTV-1","PARMAJ","F",1980,,4
"MTV-1","PARMAJ","F",1981,,1
"MTV-1","PARMAJ","F",1982,,4
"MTV-1","PARMAJ","F",1984,1,1
"MTV-1","PARMAJ","F",1984,,1
"MTV-1","PARMAJ","F",1985,1,7
"MTV-1","PARMAJ","F",1985,2,1
"MTV-1","PARMAJ","F",1986,1,14
"MTV-1","PARMAJ","F",1986,2,1
"MTV-1","PARMAJ","F",1986,3,1
"MTV-1","PARMAJ","F",1986,,3
"MTV-1","PARMAJ","F",1987,1,11
"MTV-1","PARMAJ","F",1987,2,3
"MTV-1","PARMAJ","F",1987,,2
"MTV-1","PARMAJ","F",1988,1,17
"MTV-1","PARMAJ","F",1988,2,2
"MTV-1","PARMAJ","F",1988,3,1
"MTV-1","PARMAJ","F",1988,,5
"MTV-1","PARMAJ","F",1989,1,16
"MTV-1","PARMAJ","F",1989,2,3
"MTV-1","PARMAJ","F",1989,3,1
"MTV-1","PARMAJ","F",1989,,3
"MTV-1","PARMAJ","F",1990,1,16
"MTV-1","PARMAJ","F",1990,3,1
"MTV-1","PARMAJ","F",1990,4,1
"MTV-1","PARMAJ","F",1990,,5
"MTV-1","PARMAJ","F",1991,1,1
"MTV-1","PARMAJ","F",1991,2,1
"MTV-1","PARMAJ","F",1991,3,1
"MTV-1","PARMAJ","F",1991,,2
"MTV-1","PARMAJ","F",1992,1,6
"MTV-1","PARMAJ","F",1992,3,2
"MTV-1","PARMAJ","F",1992,4,1
"MTV-1","PARMAJ","F",1992,5,1
"MTV-1","PARMAJ","F",1992,,1
"MTV-1","PARMAJ","F",1993,1,5
"MTV-1","PARMAJ","F",1993,2,1
"MTV-1","PARMAJ","F",1994,2,1
"MTV-1","PARMAJ","F",1995,1,1
"MTV-1","PARMAJ","F",1995,3,1
"MTV-1","PARMAJ","F",1997,1,1
"MTV-1","PARMAJ","F",1998,1,3
"MTV-1","PARMAJ","F",2001,1,1
"MTV-1","PARMAJ","F",2005,1,3
"MTV-1","PARMAJ","F",2006,1,1
"MTV-1","PARMAJ","F",2008,1,1
"MTV-1","PARMAJ","M",1985,1,16
"MTV-1","PARMAJ","M",1986,1,13
"MTV-1","PARMAJ","M",1986,2,1
"MTV-1","PARMAJ","M",1986,,2
"MTV-1","PARMAJ","M",1987,1,11
"MTV-1","PARMAJ","M",1987,2,6
"MTV-1","PARMAJ","M",1987,,2
"MTV-1","PARMAJ","M",1988,1,12
"MTV-1","PARMAJ","M",1988,2,5
"MTV-1","PARMAJ","M",1988,3,2
"MTV-1","PARMAJ","M",1988,,6
"MTV-1","PARMAJ","M",1989,1,9
"MTV-1","PARMAJ","M",1989,2,4
"MTV-1","PARMAJ","M",1989,3,2
"MTV-1","PARMAJ","M",1989,4,3
"MTV-1","PARMAJ","M",1989,,5
"MTV-1","PARMAJ","M",1990,1,10
"MTV-1","PARMAJ","M",1990,2,3
"MTV-1","PARMAJ","M",1990,3,3
"MTV-1","PARMAJ","M",1990,4,2
"MTV-1","PARMAJ","M",1990,5,3
"MTV-1","PARMAJ","M",1990,,3
"MTV-1","PARMAJ","M",1991,1,2
"MTV-1","PARMAJ","M",1991,3,2
"MTV-1","PARMAJ","M",1991,4,1
"MTV-1","PARMAJ","M",1991,,1
"MTV-1","PARMAJ","M",1992,1,3
"MTV-1","PARMAJ","M",1992,3,2
"MTV-1","PARMAJ","M",1992,4,2
"MTV-1","PARMAJ","M",1992,6,1
"MTV-1","PARMAJ","M",1992,,2
"MTV-1","PARMAJ","M",1993,1,7
"MTV-1","PARMAJ","M",1993,,1
"MTV-1","PARMAJ","M",1995,,1
"MTV-1","PARMAJ","M",1997,1,3
"MTV-1","PARMAJ","M",1998,1,2
"MTV-1","PARMAJ","M",1998,2,2
"MTV-1","PARMAJ","M",1999,1,1
"MTV-1","PARMAJ","M",1999,3,1
"MTV-1","PARMAJ","M",2002,1,1
"MTV-1","PARMAJ","M",2005,1,6
"MTV-1","PARMAJ","M",2005,4,1
"MTV-1","PARMAJ","M",2006,1,3
"MTV-1","PARMAJ","M",2006,2,3
"MTV-1","PARMAJ","U",1979,1,1
"MTV-1","PARMAJ","U",1979,,1
"MTV-1","PARMAJ","U",1985,1,1
"MTV-1","PARMAJ","U",1986,1,2
"MTV-1","PARMAJ","U",1986,,3
"MTV-1","PARMAJ","U",1987,,1
"MTV-1","PARMAJ","U",1989,1,1
"MTV-1","PARMAJ","U",1990,1,2
"MTV-1","PARMAJ","U",1990,2,1
"MTV-1","PARMAJ","U",1990,,1
"MTV-1","PARMAJ","U",2006,1,2
"MTV-1","PARMAJ",,1976,,25
"MTV-1","PARMAJ",,1979,,88
"MTV-1","PARMAJ",,1980,,76
"MTV-1","PARMAJ",,1981,,44
"MTV-1","PARMAJ",,1982,,96
"MTV-1","PARMAJ",,1983,,102
"MTV-1","PARMAJ",,1984,,111
"MTV-1","PARMAJ",,1985,,152
"MTV-1","PARMAJ",,1986,,184
"MTV-1","PARMAJ",,1987,,78
"MTV-1","PARMAJ",,1988,,165
"MTV-1","PARMAJ",,1989,,93
"MTV-1","PARMAJ",,1990,,173
"MTV-1","PARMAJ",,1991,0,6
"MTV-1","PARMAJ",,1991,,55
"MTV-1","PARMAJ",,1992,,56
"MTV-1","PARMAJ",,1993,0,56
"MTV-1","PARMAJ",,1993,,45
"MTV-1","PARMAJ",,1994,0,17
"MTV-1","PARMAJ",,1994,,15
"MTV-1","PARMAJ",,1995,0,20
"MTV-1","PARMAJ",,1995,,46
"MTV-1","PARMAJ",,1996,0,28
"MTV-1","PARMAJ",,1996,,36
"MTV-1","PARMAJ",,1997,0,5
"MTV-1","PARMAJ",,1997,,29
"MTV-1","PARMAJ",,1998,0,40
"MTV-1","PARMAJ",,1999,0,33
"MTV-1","PARMAJ",,2000,0,29
"MTV-1","PARMAJ",,2001,0,20
"MTV-1","PARMAJ",,2002,0,43
"MTV-1","PARMAJ",,2005,0,8
"MTV-1","PARMAJ",,2007,0,61
"MTV-1","PERATE","F",1979,1,2
"MTV-1","PERATE","F",1979,,1
"MTV-1","PERATE","F",1980,2,1
"MTV-1","PERATE","F",1980,,3
"MTV-1","PERATE","F",1981,,4
"MTV-1","PERATE","F",1982,,2
"MTV-1","PERATE","F",1983,,1
"MTV-1","PERATE","F",1984,,3
"MTV-1","PERATE","F",1985,1,1
"MTV-1","PERATE","F",1985,,17
"MTV-1","PERATE","F",1986,,22
"MTV-1","PERATE","F",1987,1,15
"MTV-1","PERATE","F",1987,,11
"MTV-1","PERATE","F",1988,1,14
"MTV-1","PERATE","F",1988,,13
"MTV-1","PERATE","F",1989,1,19
"MTV-1","PERATE","F",1989,,7
"MTV-1","PERATE","F",1990,1,18
"MTV-1","PERATE","F",1990,,14
"MTV-1","PERATE","F",1991,1,6
"MTV-1","PERATE","F",1991,,6
"MTV-1","PERATE","F",1992,1,5
"MTV-1","PERATE","F",1992,,4
"MTV-1","PERATE","F",1993,1,7
"MTV-1","PERATE","F",1993,2,1
"MTV-1","PERATE","F",1993,3,3
"MTV-1","PERATE","F",1993,,2
"MTV-1","PERATE","F",1994,1,8
"MTV-1","PERATE","F",1994,3,1
"MTV-1","PERATE","F",1994,,1
"MTV-1","PERATE","F",1995,1,9
"MTV-1","PERATE","F",1995,3,1
"MTV-1","PERATE","F",1995,5,1
"MTV-1","PERATE","F",1995,,2
"MTV-1","PERATE","F",1996,1,10
"MTV-1","PERATE","F",1996,2,1
"MTV-1","PERATE","F",1996,5,1
"MTV-1","PERATE","F",1996,,2
"MTV-1","PERATE","F",1997,1,4
"MTV-1","PERATE","F",1997,2,1
"MTV-1","PERATE","F",1997,4,1
"MTV-1","PERATE","F",1997,7,1
"MTV-1","PERATE","F",1997,,1
"MTV-1","PERATE","F",1998,1,10
"MTV-1","PERATE","F",1998,3,3
"MTV-1","PERATE","F",1998,4,2
"MTV-1","PERATE","F",1998,6,1
"MTV-1","PERATE","F",1999,1,11
"MTV-1","PERATE","F",1999,2,2
"MTV-1","PERATE","F",1999,3,1
"MTV-1","PERATE","F",1999,4,1
"MTV-1","PERATE","F",1999,,1
"MTV-1","PERATE","F",2000,0,1
"MTV-1","PERATE","F",2000,1,9
"MTV-1","PERATE","F",2000,2,1
"MTV-1","PERATE","F",2001,1,14
"MTV-1","PERATE","F",2001,2,7
"MTV-1","PERATE","F",2001,3,2
"MTV-1","PERATE","F",2001,6,1
"MTV-1","PERATE","F",2001,7,1
"MTV-1","PERATE","F",2002,1,8
"MTV-1","PERATE","F",2002,2,3
"MTV-1","PERATE","F",2002,3,5
"MTV-1","PERATE","F",2003,1,8
"MTV-1","PERATE","F",2003,2,1
"MTV-1","PERATE","F",2003,3,3
"MTV-1","PERATE","F",2003,4,1
"MTV-1","PERATE","F",2003,5,1
"MTV-1","PERATE","F",2004,1,13
"MTV-1","PERATE","F",2004,5,1
"MTV-1","PERATE","F",2004,7,1
"MTV-1","PERATE","F",2005,1,9
"MTV-1","PERATE","F",2005,2,1
"MTV-1","PERATE","F",2005,3,2
"MTV-1","PERATE","F",2005,8,1
"MTV-1","PERATE","F",2006,1,4
"MTV-1","PERATE","F",2006,2,1
"MTV-1","PERATE","F",2006,3,2
"MTV-1","PERATE","F",2008,1,14
"MTV-1","PERATE","F",2009,1,7
"MTV-1","PERATE","F",2011,1,1
"MTV-1","PERATE","M",1979,1,1
"MTV-1","PERATE","M",1979,,1
"MTV-1","PERATE","M",1980,,4
"MTV-1","PERATE","M",1981,,4
"MTV-1","PERATE","M",1982,,2
"MTV-1","PERATE","M",1983,,1
"MTV-1","PERATE","M",1984,,3
"MTV-1","PERATE","M",1985,1,1
"MTV-1","PERATE","M",1985,,17
"MTV-1","PERATE","M",1986,,22
"MTV-1","PERATE","M",1987,1,15
"MTV-1","PERATE","M",1987,,6
"MTV-1","PERATE","M",1988,1,15
"MTV-1","PERATE","M",1988,,11
"MTV-1","PERATE","M",1989,1,16
"MTV-1","PERATE","M",1989,,7
"MTV-1","PERATE","M",1990,1,16
"MTV-1","PERATE","M",1990,,14
"MTV-1","PERATE","M",1991,1,2
"MTV-1","PERATE","M",1991,,5
"MTV-1","PERATE","M",1992,1,4
"MTV-1","PERATE","M",1992,,3
"MTV-1","PERATE","M",1993,1,8
"MTV-1","PERATE","M",1993,,2
"MTV-1","PERATE","M",1994,1,6
"MTV-1","PERATE","M",1994,2,2
"MTV-1","PERATE","M",1994,,2
"MTV-1","PERATE","M",1995,1,4
"MTV-1","PERATE","M",1995,2,1
"MTV-1","PERATE","M",1996,1,14
"MTV-1","PERATE","M",1996,3,1
"MTV-1","PERATE","M",1997,1,11
"MTV-1","PERATE","M",1997,4,1
"MTV-1","PERATE","M",1997,,2
"MTV-1","PERATE","M",1998,1,6
"MTV-1","PERATE","M",1998,2,2
"MTV-1","PERATE","M",1998,3,3
"MTV-1","PERATE","M",1998,,1
"MTV-1","PERATE","M",1999,1,12
"MTV-1","PERATE","M",1999,4,1
"MTV-1","PERATE","M",1999,,2
"MTV-1","PERATE","M",2000,1,7
"MTV-1","PERATE","M",2000,2,1
"MTV-1","PERATE","M",2001,0,1
"MTV-1","PERATE","M",2001,1,17
"MTV-1","PERATE","M",2001,2,1
"MTV-1","PERATE","M",2001,3,1
"MTV-1","PERATE","M",2002,1,9
"MTV-1","PERATE","M",2002,2,3
"MTV-1","PERATE","M",2002,3,1
"MTV-1","PERATE","M",2003,1,5
"MTV-1","PERATE","M",2003,2,4
"MTV-1","PERATE","M",2003,3,2
"MTV-1","PERATE","M",2003,4,1
"MTV-1","PERATE","M",2004,1,8
"MTV-1","PERATE","M",2004,2,1
"MTV-1","PERATE","M",2004,3,2
"MTV-1","PERATE","M",2004,4,1
"MTV-1","PERATE","M",2005,1,5
"MTV-1","PERATE","M",2005,2,3
"MTV-1","PERATE","M",2005,3,1
"MTV-1","PERATE","M",2005,4,2
"MTV-1","PERATE","M",2005,5,1
"MTV-1","PERATE","M",2006,1,3
"MTV-1","PERATE","M",2006,2,1
"MTV-1","PERATE","M",2006,3,1
"MTV-1","PERATE","M",2008,1,9
"MTV-1","PERATE","M",2008,3,1
"MTV-1","PERATE","M",2008,4,1
"MTV-1","PERATE","M",2008,7,1
"MTV-1","PERATE","M",2009,1,6
"MTV-1","PERATE","M",2009,2,1
"MTV-1","PERATE","U",1979,,2
"MTV-1","PERATE","U",1994,1,1
"MTV-1","PERATE",,1976,,12
"MTV-1","PERATE",,1979,,62
"MTV-1","PERATE",,1980,,72
"MTV-1","PERATE",,1981,,34
"MTV-1","PERATE",,1982,,14
"MTV-1","PERATE",,1983,,8
"MTV-1","PERATE",,1984,,40
"MTV-1","PERATE",,1985,,220
"MTV-1","PERATE",,1986,,178
"MTV-1","PERATE",,1987,,164
"MTV-1","PERATE",,1988,,226
"MTV-1","PERATE",,1989,,180
"MTV-1","PERATE",,1990,,255
"MTV-1","PERATE",,1991,,106
"MTV-1","PERATE",,1992,,68
"MTV-1","PERATE",,1993,0,61
"MTV-1","PERATE",,1993,,42
"MTV-1","PERATE",,1994,0,73
"MTV-1","PERATE",,1994,,59
"MTV-1","PERATE",,1995,0,31
"MTV-1","PERATE",,1995,,93
"MTV-1","PERATE",,1996,0,26
"MTV-1","PERATE",,1996,,121
"MTV-1","PERATE",,1997,0,51
"MTV-1","PERATE",,1997,,80
"MTV-1","PERATE",,1998,0,97
"MTV-1","PERATE",,1999,0,155
"MTV-1","PERATE",,2000,0,201
"MTV-1","PERATE",,2001,0,175
"MTV-1","PERATE",,2002,0,132
"MTV-1","PERATE",,2003,0,121
"MTV-1","PERATE",,2004,0,131
"MTV-1","PERATE",,2005,0,113
"MTV-1","PERATE",,2006,0,60
"MTV-1","PERATE",,2010,0,20
"MTV-1","PERATE",,2013,0,8
"MTV-1","POEPAL","F",2009,1,1
"MTV-1","POEPAL","M",2009,1,1
"MTV-1","SITEUR","F",1989,1,2
"MTV-1","SITEUR","F",1992,1,2
"MTV-1","SITEUR","F",1992,2,1
"MTV-1","SITEUR","F",1992,3,1
"MTV-1","SITEUR","F",1993,2,1
"MTV-1","SITEUR","F",1993,5,1
"MTV-1","SITEUR","F",1994,2,1
"MTV-1","SITEUR","F",1999,1,1
"MTV-1","SITEUR","M",1989,1,2
"MTV-1","SITEUR","M",1991,1,1
"MTV-1","SITEUR","M",1991,2,2
"MTV-1","SITEUR","M",1992,1,2
"MTV-1","SITEUR","M",1992,3,1
"MTV-1","SITEUR","M",1993,4,1
"MTV-1","SITEUR","M",1997,1,1
"MTV-1","SITEUR","M",1998,1,1
"MTV-1","SITEUR","M",1998,2,1
"MTV-1","SITEUR","M",1999,1,1
"MTV-1","SITEUR","M",1999,3,1
"MTV-1","SITEUR","U",1988,1,1
"MTV-1","SITEUR","U",1989,1,8
"MTV-1","SITEUR","U",1990,1,7
"MTV-1","SITEUR",,1989,,4
"MTV-1","SITEUR",,1997,,1
"MTV-1","SITEUR",,1998,0,4
"MTV-1","SITEUR",,1999,0,9
"MTV-1","SITEUR",,2000,0,2
"MTV-1","SITEUR",,2004,0,3
"MUR-1","CYACAE","F",1993,1,13
"MUR-1","CYACAE","F",1994,0,1
"MUR-1","CYACAE","F",1994,1,33
"MUR-1","CYACAE","F",1994,2,1
"MUR-1","CYACAE","F",1995,0,2
"MUR-1","CYACAE","F",1995,1,31
"MUR-1","CYACAE","F",1995,2,10
"MUR-1","CYACAE","F",1996,0,2
"MUR-1","CYACAE","F",1996,1,33
"MUR-1","CYACAE","F",1996,2,3
"MUR-1","CYACAE","F",1996,3,2
"MUR-1","CYACAE","F",1996,,1
"MUR-1","CYACAE","F",1997,0,1
"MUR-1","CYACAE","F",1997,1,39
"MUR-1","CYACAE","F",1997,2,1
"MUR-1","CYACAE","F",1997,3,2
"MUR-1","CYACAE","F",1997,,1
"MUR-1","CYACAE","F",1998,1,25
"MUR-1","CYACAE","F",1998,2,9
"MUR-1","CYACAE","F",1998,3,1
"MUR-1","CYACAE","F",1998,4,2
"MUR-1","CYACAE","F",1998,,1
"MUR-1","CYACAE","F",1999,1,29
"MUR-1","CYACAE","F",1999,2,3
"MUR-1","CYACAE","F",1999,3,1
"MUR-1","CYACAE","F",1999,6,1
"MUR-1","CYACAE","F",2000,1,58
"MUR-1","CYACAE","F",2000,2,6
"MUR-1","CYACAE","F",2000,3,6
"MUR-1","CYACAE","F",2000,4,3
"MUR-1","CYACAE","F",2001,0,2
"MUR-1","CYACAE","F",2001,1,111
"MUR-1","CYACAE","F",2001,2,11
"MUR-1","CYACAE","F",2001,3,2
"MUR-1","CYACAE","F",2001,5,2
"MUR-1","CYACAE","F",2002,0,9
"MUR-1","CYACAE","F",2002,1,111
"MUR-1","CYACAE","F",2002,2,31
"MUR-1","CYACAE","F",2002,3,8
"MUR-1","CYACAE","F",2002,4,2
"MUR-1","CYACAE","F",2002,5,1
"MUR-1","CYACAE","F",2002,6,1
"MUR-1","CYACAE","F",2003,0,8
"MUR-1","CYACAE","F",2003,1,106
"MUR-1","CYACAE","F",2003,2,25
"MUR-1","CYACAE","F",2003,3,14
"MUR-1","CYACAE","F",2003,4,6
"MUR-1","CYACAE","F",2003,5,3
"MUR-1","CYACAE","F",2003,7,1
"MUR-1","CYACAE","F",2004,0,7
"MUR-1","CYACAE","F",2004,1,41
"MUR-1","CYACAE","F",2004,2,19
"MUR-1","CYACAE","F",2004,3,11
"MUR-1","CYACAE","F",2004,4,10
"MUR-1","CYACAE","F",2004,5,3
"MUR-1","CYACAE","F",2004,6,1
"MUR-1","CYACAE","F",2004,8,1
"MUR-1","CYACAE","F",2005,0,6
"MUR-1","CYACAE","F",2005,1,76
"MUR-1","CYACAE","F",2005,2,13
"MUR-1","CYACAE","F",2005,3,11
"MUR-1","CYACAE","F",2005,4,5
"MUR-1","CYACAE","F",2005,5,4
"MUR-1","CYACAE","F",2006,0,1
"MUR-1","CYACAE","F",2006,1,74
"MUR-1","CYACAE","F",2006,2,7
"MUR-1","CYACAE","F",2006,3,8
"MUR-1","CYACAE","F",2006,4,5
"MUR-1","CYACAE","F",2006,5,6
"MUR-1","CYACAE","F",2007,0,5
"MUR-1","CYACAE","F",2007,1,70
"MUR-1","CYACAE","F",2007,2,11
"MUR-1","CYACAE","F",2007,3,9
"MUR-1","CYACAE","F",2007,4,3
"MUR-1","CYACAE","F",2007,5,5
"MUR-1","CYACAE","F",2007,6,2
"MUR-1","CYACAE","F",2008,1,67
"MUR-1","CYACAE","F",2008,2,9
"MUR-1","CYACAE","F",2008,3,5
"MUR-1","CYACAE","F",2008,4,6
"MUR-1","CYACAE","F",2008,5,2
"MUR-1","CYACAE","F",2008,6,2
"MUR-1","CYACAE","F",2008,8,1
"MUR-1","CYACAE","F",2009,0,4
"MUR-1","CYACAE","F",2009,1,79
"MUR-1","CYACAE","F",2009,2,2
"MUR-1","CYACAE","F",2009,3,5
"MUR-1","CYACAE","F",2009,4,5
"MUR-1","CYACAE","F",2009,5,2
"MUR-1","CYACAE","F",2009,6,2
"MUR-1","CYACAE","F",2010,0,4
"MUR-1","CYACAE","F",2010,1,60
"MUR-1","CYACAE","F",2010,2,24
"MUR-1","CYACAE","F",2010,3,4
"MUR-1","CYACAE","F",2010,4,2
"MUR-1","CYACAE","F",2010,5,6
"MUR-1","CYACAE","F",2010,6,1
"MUR-1","CYACAE","F",2011,0,8
"MUR-1","CYACAE","F",2011,1,74
"MUR-1","CYACAE","F",2011,2,17
"MUR-1","CYACAE","F",2011,3,14
"MUR-1","CYACAE","F",2011,5,1
"MUR-1","CYACAE","F",2011,6,2
"MUR-1","CYACAE","F",2011,7,1
"MUR-1","CYACAE","F",2011,,1
"MUR-1","CYACAE","F",2012,0,11
"MUR-1","CYACAE","F",2012,1,79
"MUR-1","CYACAE","F",2012,2,20
"MUR-1","CYACAE","F",2012,3,9
"MUR-1","CYACAE","F",2012,4,5
"MUR-1","CYACAE","F",2012,5,1
"MUR-1","CYACAE","F",2012,7,1
"MUR-1","CYACAE","F",2012,,1
"MUR-1","CYACAE","F",2013,0,5
"MUR-1","CYACAE","F",2013,1,62
"MUR-1","CYACAE","F",2013,2,20
"MUR-1","CYACAE","F",2013,3,10
"MUR-1","CYACAE","F",2013,4,5
"MUR-1","CYACAE","F",2013,5,2
"MUR-1","CYACAE","F",2013,,1
"MUR-1","CYACAE","F",2014,0,5
"MUR-1","CYACAE","F",2014,1,72
"MUR-1","CYACAE","F",2014,2,21
"MUR-1","CYACAE","F",2014,3,14
"MUR-1","CYACAE","F",2014,4,6
"MUR-1","CYACAE","F",2014,5,2
"MUR-1","CYACAE","F",2014,6,1
"MUR-1","CYACAE","F",2014,,1
"MUR-1","CYACAE","F",2015,0,12
"MUR-1","CYACAE","F",2015,1,77
"MUR-1","CYACAE","F",2015,2,17
"MUR-1","CYACAE","F",2015,3,7
"MUR-1","CYACAE","F",2015,4,5
"MUR-1","CYACAE","F",2015,5,5
"MUR-1","CYACAE","F",2016,0,13
"MUR-1","CYACAE","F",2016,1,82
"MUR-1","CYACAE","F",2016,2,23
"MUR-1","CYACAE","F",2016,3,9
"MUR-1","CYACAE","F",2016,4,3
"MUR-1","CYACAE","F",2016,5,2
"MUR-1","CYACAE","F",2016,6,2
"MUR-1","CYACAE","F",2017,0,13
"MUR-1","CYACAE","F",2017,1,92
"MUR-1","CYACAE","F",2017,2,20
"MUR-1","CYACAE","F",2017,3,11
"MUR-1","CYACAE","F",2017,4,3
"MUR-1","CYACAE","F",2017,5,2
"MUR-1","CYACAE","F",2017,7,2
"MUR-1","CYACAE","F",2018,0,8
"MUR-1","CYACAE","F",2018,1,88
"MUR-1","CYACAE","F",2018,2,24
"MUR-1","CYACAE","F",2018,3,10
"MUR-1","CYACAE","F",2018,4,8
"MUR-1","CYACAE","F",2018,5,2
"MUR-1","CYACAE","F",2019,0,11
"MUR-1","CYACAE","F",2019,1,87
"MUR-1","CYACAE","F",2019,2,7
"MUR-1","CYACAE","F",2019,3,5
"MUR-1","CYACAE","F",2019,4,1
"MUR-1","CYACAE","F",2019,5,4
"MUR-1","CYACAE","F",2020,0,8
"MUR-1","CYACAE","F",2020,1,61
"MUR-1","CYACAE","F",2020,2,15
"MUR-1","CYACAE","F",2020,3,5
"MUR-1","CYACAE","F",2020,4,2
"MUR-1","CYACAE","F",2021,0,11
"MUR-1","CYACAE","F",2021,1,87
"MUR-1","CYACAE","F",2021,2,13
"MUR-1","CYACAE","F",2021,3,8
"MUR-1","CYACAE","F",2021,5,2
"MUR-1","CYACAE","F",2022,0,6
"MUR-1","CYACAE","F",2022,1,77
"MUR-1","CYACAE","F",2022,2,32
"MUR-1","CYACAE","F",2022,3,7
"MUR-1","CYACAE","F",2022,4,6
"MUR-1","CYACAE","F",2022,5,2
"MUR-1","CYACAE","F",2022,6,3
"MUR-1","CYACAE","F",2023,0,10
"MUR-1","CYACAE","F",2023,1,97
"MUR-1","CYACAE","F",2023,2,14
"MUR-1","CYACAE","F",2023,3,20
"MUR-1","CYACAE","F",2023,4,5
"MUR-1","CYACAE","F",2023,5,1
"MUR-1","CYACAE","F",2023,6,1
"MUR-1","CYACAE","F",2023,7,1
"MUR-1","CYACAE","F",2024,0,14
"MUR-1","CYACAE","F",2024,1,101
"MUR-1","CYACAE","F",2024,2,18
"MUR-1","CYACAE","F",2024,3,9
"MUR-1","CYACAE","F",2024,4,5
"MUR-1","CYACAE","F",2024,5,2
"MUR-1","CYACAE","F",2024,6,1
"MUR-1","CYACAE","F",2024,8,1
"MUR-1","CYACAE","F",2025,0,11
"MUR-1","CYACAE","F",2025,1,27
"MUR-1","CYACAE","F",2025,2,4
"MUR-1","CYACAE","F",2025,3,3
"MUR-1","CYACAE","F",2025,4,1
"MUR-1","CYACAE","M",1992,1,1
"MUR-1","CYACAE","M",1993,1,15
"MUR-1","CYACAE","M",1994,0,1
"MUR-1","CYACAE","M",1994,1,31
"MUR-1","CYACAE","M",1995,0,1
"MUR-1","CYACAE","M",1995,1,44
"MUR-1","CYACAE","M",1995,2,2
"MUR-1","CYACAE","M",1996,0,1
"MUR-1","CYACAE","M",1996,1,39
"MUR-1","CYACAE","M",1996,2,5
"MUR-1","CYACAE","M",1996,3,1
"MUR-1","CYACAE","M",1997,0,5
"MUR-1","CYACAE","M",1997,1,54
"MUR-1","CYACAE","M",1997,2,1
"MUR-1","CYACAE","M",1997,3,1
"MUR-1","CYACAE","M",1998,1,25
"MUR-1","CYACAE","M",1998,2,10
"MUR-1","CYACAE","M",1998,3,1
"MUR-1","CYACAE","M",1998,4,1
"MUR-1","CYACAE","M",1998,5,1
"MUR-1","CYACAE","M",1999,0,1
"MUR-1","CYACAE","M",1999,1,24
"MUR-1","CYACAE","M",1999,2,6
"MUR-1","CYACAE","M",1999,3,3
"MUR-1","CYACAE","M",1999,4,1
"MUR-1","CYACAE","M",2000,0,5
"MUR-1","CYACAE","M",2000,1,60
"MUR-1","CYACAE","M",2000,2,6
"MUR-1","CYACAE","M",2000,3,3
"MUR-1","CYACAE","M",2000,4,2
"MUR-1","CYACAE","M",2001,0,15
"MUR-1","CYACAE","M",2001,1,114
"MUR-1","CYACAE","M",2001,2,4
"MUR-1","CYACAE","M",2001,3,3
"MUR-1","CYACAE","M",2001,5,2
"MUR-1","CYACAE","M",2002,0,9
"MUR-1","CYACAE","M",2002,1,105
"MUR-1","CYACAE","M",2002,2,31
"MUR-1","CYACAE","M",2002,3,4
"MUR-1","CYACAE","M",2002,4,1
"MUR-1","CYACAE","M",2003,0,14
"MUR-1","CYACAE","M",2003,1,80
"MUR-1","CYACAE","M",2003,2,31
"MUR-1","CYACAE","M",2003,3,13
"MUR-1","CYACAE","M",2003,5,2
"MUR-1","CYACAE","M",2004,0,14
"MUR-1","CYACAE","M",2004,1,30
"MUR-1","CYACAE","M",2004,2,16
"MUR-1","CYACAE","M",2004,3,12
